Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000000001	216	158	234	74	6	5	22	6	11	31	71	140	14	44	134	14	23	18	1	3	5	32	7
ENSMUSG00000000028	4	3	6	2	0	0	0	0	0	2	2	8	1	0	3	0	0	0	0	1	0	3	0
ENSMUSG00000000031	1	0	0	0	0	0	0	0	0	1	0	2	0	1	4	0	0	0	0	0	0	0	0
ENSMUSG00000000049	4	1	2	0	0	1	3	0	2	0	2	7	2	4	0	0	0	1	0	1	0	2	3
ENSMUSG00000000056	144	82	120	82	18	2	12	3	20	40	54	80	42	42	18	6	19	83	4	16	31	48	25
ENSMUSG00000000058	2	2	2	1	0	2	3	0	2	0	2	1	0	3	6	0	1	2	1	0	1	2	0
ENSMUSG00000000078	290	204	279	111	10	5	38	10	41	62	166	276	71	49	292	17	29	22	5	10	26	125	79
ENSMUSG00000000085	16	11	16	5	0	0	2	0	6	2	11	21	10	7	21	1	8	1	1	0	5	12	2
ENSMUSG00000000088	331	224	246	227	46	93.99	398	44.99	117	182	488	829.97	249.99	173	267	29	172	90	7	21	99	336	171
ENSMUSG00000000093	1	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	1	1	0	0	0	0	1
ENSMUSG00000000120	3	3	2	1	0	0	0	1	0	1	3	3	2	1	1	1	2	0	0	0	0	0	0
ENSMUSG00000000127	8	10	7	10	0	2	13	1	2	5	5	17	5	13	4	4	10	3	0	4	4	11	9
ENSMUSG00000000131	163	114	243	61	0	0	6	3	34	42	89	121	35	40	96	5	11	10	2	6	25	83	21
ENSMUSG00000000134	69	64	118	34	2	1	3	3	28	38	65	112	44	42	69	6	13	39	2	4	24	90	30
ENSMUSG00000000142	3	2	6	4	0	0	0	1	0	1	5	6	1	3	1	1	0	1	0	0	0	0	0
ENSMUSG00000000148	31	18	26	12	0	1	1	2	11	13	21	37	10	9	3	2	3	1	0	0	1	14	1
ENSMUSG00000000149	55	27	43	31	0	2	1	1	12	13	36	63.85	17	31	45.82	7	25	11	0	0	13	55	16
ENSMUSG00000000154	1	1	1	0	0	0	0	0	1	1	0	3	2	2	3	0	1	0	0	0	1	1	0
ENSMUSG00000000157	34	36	87	2	0	0	0	0	15	26	45	63	11	3	31	4	6	4	1	1	16	48	13
ENSMUSG00000000168	18	11	11	19	3	0	8	3	2	7	9	38	12	8	16	0	1	2	0	0	2	5	2
ENSMUSG00000000171	69	46	79	32	3	6	24	7	14	31	67	94	47	24	73	4	15	17	1	1	13	26	5
ENSMUSG00000000184	59	47	48	35	3	1	3	2	25	19	49	90	16	17	22	1	4	14	1	3	9	27	15
ENSMUSG00000000194	73	42	79.69	18	0	1	2.01	2	19.02	24	39	84.44	30	23	14	5	16	11	0	5	16	43.04	24
ENSMUSG00000000204	473	339	256	20	3	2	17	5	0	21	76	191.01	10	31	184	14	77	38	4	14	3	24	6
ENSMUSG00000000223	1	1	1	2	0	0	0	0	4	1	3	6	3	1	2	1	0	0	0	0	1	0	0
ENSMUSG00000000244	34	28	37	43	7	0	19	13	19	30	46	91	19	30	7	3	20	24	1	0	15	40	20
ENSMUSG00000000253	147	124	102	124	7	12	53	22	109	94	184	295	79	62	89	12	50	33	8	10	121	196	111
ENSMUSG00000000266	2	0	0	0	0	0	0	0	0	0	1	1	0	0	6	0	0	2	0	0	0	0	0
ENSMUSG00000000275	181	135	154	69	1	2	12	10	25	52	108	194	53	52	240	7	25	17	4	20	17	52	28
ENSMUSG00000000276	7	6	5	6	1	0	0	1	0	4	3	8	3	3	15	1	2	1	0	0	1	1	1
ENSMUSG00000000278	63	66	67	55	6	1	2	6	24	36	74	114	28	21	59	2	9	8	0	4	11	22	13
ENSMUSG00000000282	31	34	52	34	1	1	1	4	5	14	27	41	18	20	38	2	1	4	0	1	8	21	2
ENSMUSG00000000290	1157	891	1446	697	13	7	66	39	369	466	792	1246	355	570	661	88	215	134	15	100	475	1206	382
ENSMUSG00000000295	6	5	8	5	3	1	7	1	2	5	12	15	11	3	6	0	5	4	0	0	1	1	1
ENSMUSG00000000301	0	0	1	0	0	0	1	1	1	0	1	2	1	0	0	0	1	1	0	0	1	0	2
ENSMUSG00000000303	4	9	17	17	0	0	0	0	3	1	9	10	3	0	40	0	3	7	0	2	0	3	1
ENSMUSG00000000308	4	0	0	1	0	0	0	0	4	0	0	0	2	6	17	1	5	2	0	0	0	0	1
ENSMUSG00000000318	22	11	9	11	0	2	1	0	7	13	22	28	4	4	2	0	3	3	1	0	2	3	5
ENSMUSG00000000320	2678	1963	2266	2186	52	76	356	216	1341	1307	2807	4700	913	2365	1949	340	1412	621	84	389	2872	4789	2354
ENSMUSG00000000325	1	2	2	0	0	0	0	0	1	4	2	5	1	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000000326	37.24	7.91	33.78	0	23.95	4.26	30.88	8	0	8.54	44.43	25.41	48.59	20.95	0	0	20.26	61.63	1	1.98	0	47.06	26.25
ENSMUSG00000000339	21.91	21	19.96	19	2	1	12	4	16	15	23	41.93	10	10	22	0	6	6	0	1	15	14	13
ENSMUSG00000000340	10	5	5	5	2	2	3	1	1	3	7	12	2	4	5	1	0	4	0	1	0	2	1
ENSMUSG00000000346	3691	3371	3396	3133	165	109	450	274	876	2035	2303	2887	1583	2334	2836	441	1075	1638	74	498	1073	2012	835
ENSMUSG00000000355	15	23	7	9	1	1	6	0	3	10	29	51	12	1	14	0	2	8	0	2	4	7	3
ENSMUSG00000000359	4	1	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000374	50	50	76	33	0	0	5	1	12	15	31	53	19	24	69	7	12	20	3	3	19	40	15
ENSMUSG00000000378	101	65	120	57	3	7	15	10	38	59	66	150	51	43	42	10	34	18	1	6	27	72	37
ENSMUSG00000000384	29	20	33	20.96	2	0	3	3	16.01	17	30.74	52	24.05	9.99	26.02	0	3	4.49	0	0	7	21.12	15
ENSMUSG00000000385	0	0	0	3	1	0	0	0	0	2	5	8	2	1	7	1	2	0	0	2	0	2	2
ENSMUSG00000000386	13	15	10	8	2	2	6	1	0	8	7	15	5	4	12	3	34	13	1	26	5	5	13
ENSMUSG00000000392	0	2	0	0	0	0	0	0	0	0	1	3	0	0	2	0	0	1	0	0	0	0	0
ENSMUSG00000000399	34	27	41	28	4	1	2	1	19	30	58	87	33	15	21	1	16	9	3	1	11	28	5
ENSMUSG00000000409	86	75	83	111	7	1	9	13	54	63	133	193	61	32	9	5	11	20	0	6	41	80	25
ENSMUSG00000000411	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	2
ENSMUSG00000000420	473	421	455	619	62	14	78	33	200	485	527	596	396	431	359	80	198	589	27	88	300	571	279
ENSMUSG00000000439	3.16	7.18	8.53	11.47	1	0	0	0	3	1.41	7.75	20.42	3	2.69	8.5	1.69	1	4	0	0	1.48	3	4.54
ENSMUSG00000000440	1	0	3	2	0	0	0	0	0	2	2	3	3	3	3	0	2	1	0	0	0	0	1
ENSMUSG00000000441	145.44	120.59	178.56	62.43	0	2	6	7	15	39.44	96.14	159.46	28.55	26.31	159.5	4.31	19	27	0	6	14.52	60.23	12.72
ENSMUSG00000000486	362	262	308	376	104	16	64	49	286	355	417	634	359	268	137	22	224	1433	37	79	365	569	480
ENSMUSG00000000489	5	2	6	4	0	1	0	0	0	0	2	7	2	1	3	0	1	2	0	0	2	4	2
ENSMUSG00000000530	32	29	75	8	0	2	0	0	18	31	35	60	14	2	18	0	9	1	1	2	16	14	16
ENSMUSG00000000531	1	2	4	3	0	0	0	1	1	2	2	7	4	3	8	0	0	2	0	0	1	1	1
ENSMUSG00000000532	49	46	59	21	0	0	1	2	3	7	15	34	9	7	25	7	1	2	0	0	0	10	3
ENSMUSG00000000538	32	18	27	24	0	0	1	6	8	11	26	35	11	19	12	4	9	9	0	0	15	21	17
ENSMUSG00000000552	30	15	46	33	0	0	1	0	27	31	43	67	41	11	17	2	7	2	1	6	53	42	35
ENSMUSG00000000555	25	40	53	30	0	0	1	0	10	37	45	63	19	12	20	0	4	8	2	1	5	40	15
ENSMUSG00000000561	42.06	39.06	50	19	0	1	5	1	6	14	41	60	15	8	9	1	3	12	0	0	9	17	6
ENSMUSG00000000562	16	3	21	8	0	0	1	0	5	6	17	18	8	3	9	1	3	3	0	0	3	9	4
ENSMUSG00000000563	228.94	191.94	260	152	66	44	161	27	66	136	279	378.16	134	95	171	17	93	231	6	18	59	136	70
ENSMUSG00000000567	1	0	0	0	0	0	1	1	0	1	2	0	0	3	1	0	1	2	0	0	0	0	0
ENSMUSG00000000568	94	90	146	75	3	3	10	1	28	61	106	172	71	28	135	5	12	28	1	6	21	47	30
ENSMUSG00000000579	24.83	31.64	30.51	8.06	1.51	2.47	9.24	2.53	5.58	7.25	22.63	46.64	3.36	13.69	9.74	0	15.68	5.4	3.08	0	2.66	13.8	15.19
ENSMUSG00000000581	34	24	40	14	4	9	32	5	2	10	24	27	24	3	47	0	11	5	1	2	1	4	3
ENSMUSG00000000594	264	171	278	156	8	4	22	17	80	178	280	507	210	80	110	15	53	52	3	17	53	142	120
ENSMUSG00000000600	29	13	11	8	0	0	3	0	1	1	4	14	3	5	11	1	3	3	0	0	1	4	0
ENSMUSG00000000605	65	51	61	34	3	0	15	7	23	29	44	78	28	14	17	3	19	17	1	3	9	18	11
ENSMUSG00000000617	2	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627	3	1	8	5	0	0	0	1	3	3	6	12	7	2	1	0	0	0	0	0	3	4	4
ENSMUSG00000000628	26	19	29	13	0	1	1	0	4	9	22	29	10	6	22	2	7	6	1	0	6	11	10
ENSMUSG00000000631	42	46	69	52	0	0	1	1	18	33	39	82	25	23	32	3	6	18	1	3	11	26	28
ENSMUSG00000000673	25	23	41	18	2	1	11	3	26	20	26	66	29	21	10	1	4	7	1	0	14	27	15
ENSMUSG00000000682	413	349	627	169	34	45	206	50	183	203	477	898	226	124	151	20	129	107	14	19	119	349	161
ENSMUSG00000000686	6	2.95	10	9	0	0	0	0	2	0	7	15	1	0	6	1	1	2	0	0	0	5	0
ENSMUSG00000000693	10	4.33	3.09	6.21	0	0	0	0	4.08	7	14.15	10.42	3.22	7.43	6.4	1	4	1.03	0	5	3.15	11.56	21.28
ENSMUSG00000000708	43	27	42	37	5	5	18	1	4	12	28	36	10	13	23	8	19	36	0	11	3	8	13
ENSMUSG00000000711	162	124	207	77	0	1	2	8	26	41	81	143	40	56	42	3	10	23	2	9	23	65	29
ENSMUSG00000000730	0	0	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0
ENSMUSG00000000732	56	72	70	37	1	1	13	8	17	12	36	83	22	27	24	5	11	1	0	1	11	12	6
ENSMUSG00000000738	55	28	46	49	3	1	3	3	34	26	56	92	34	21	30	1	13	20	2	11	18	52	26
ENSMUSG00000000740	1143.32	1059.99	1434.11	1246	396.71	333.65	1242.96	232.65	1111.38	1064.39	1778.37	2030.78	1533.86	594.39	1156.64	141.38	678.78	949.28	51.36	231.37	684.28	1174.23	1053.34
ENSMUSG00000000743	229	178	270	181	8	7	33	22	77	105	218	404	146	157	186	34	88	67	8	34	130	342	144
ENSMUSG00000000751	45	48	52	45	1	1	1	3	13	24	43	79	22	22	12	7	6	17	1	3	16	21	18
ENSMUSG00000000753	4	0	1	1	1	0	0	2	5	3	3	1	2	1	5	0	0	0	0	0	0	0	1
ENSMUSG00000000759	40	24	33	20	3	1	5	2	1	9	13	34	9	3	32	2	4	10	0	0	1	2	1
ENSMUSG00000000776	6	12	12	11	1	0	0	0	0	4	4	10	5	4	5	1	1	1	0	0	3	3	0
ENSMUSG00000000782	162	118	93	158	2	0	15	15	64	100	156	238	90	50	38	10	17	15	0	8	30	66	16
ENSMUSG00000000787	311	232	297	161	34	12	95	19	10	59	155	213	54	52	334	23	47	80	5	17	15	42	18
ENSMUSG00000000791	4	2	2	2	1	1	1	2	0	0	4	9	0	2	3	0	1	2	0	3	4	3	5
ENSMUSG00000000804	178	132	164	156	35	10	30	12	29	95	80	128	64	107	99	18	32	96	4	20	38	102	49
ENSMUSG00000000805	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	1	0
ENSMUSG00000000811	5	5	6	4	0	0	0	0	0	2	1	3	4	3	9	0	1	1	0	0	6	3	0
ENSMUSG00000000817	3	1	8	3	1	1	3	1	1	1	4	7	3	0	2	0	2	2	0	0	0	2	0
ENSMUSG00000000823	8	15	11	9	0	0	1	2	2	10	13	22	12	3	8	3	0	2	0	0	2	8	6
ENSMUSG00000000826	130	146	225	89	3	1	10	6	35	47	99	170	58	39	147	8	15	24	2	5	16	75	45
ENSMUSG00000000827	46	33	49	37	13	5	14	9	16	37	51	78	39	21	19	5	27	46	0	7	24	31	28
ENSMUSG00000000838	38	21	37	27	5	2	11	8	3	7	20	23	1	3	18	0	6	7	0	2	1	5	0
ENSMUSG00000000861	30	43	46	29	1	0	2	0	14	12	32	57	10	11	1	2	1	4	0	0	3.34	2	6.24
ENSMUSG00000000869	6	5	3	5	0	1	5	0	0	0	6	8	2	2	1	0	6	0	0	0	2	3	5
ENSMUSG00000000876	14	15	29	30	7	0	3	4	16.01	15	23	44	17.88	16	14.03	2	14	21	2	0	20	32	26
ENSMUSG00000000881	1	2	5	7	0	0	0	2	1	1	1	8	2	2	13	0	1	2	0	2	0	2	0
ENSMUSG00000000884	5	1	2	1	1	0	2	0	2	1	3	4	3	1	2	0	2	2	0	0	1	6	4
ENSMUSG00000000901	1	3	0	0	0	0	0	0	0	0	4	3	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000000902	34	19.14	29.04	26.01	0	0	3	1	30.89	26	50.03	66.65	24	7	4	2	6	10.13	0	4	7	22.76	16
ENSMUSG00000000903	11	14	12	10	1	3	7	3	5	5	21	56	4	6	3	0	4	0	0	0	0	5	6
ENSMUSG00000000915	79	67	109	61	2	2	4	7	29	30	68	138	32	38	81	7	8	8	0	6	11	33	23
ENSMUSG00000000916	14.91	9.06	11.99	3.43	1	2	5	0	15.62	8.11	9.83	30.56	11.89	4.94	1	0	1	1.49	0	0	6.77	9.36	5.06
ENSMUSG00000000934	2	4	2	0	0	0	0	0	2	2	3	7	1	0	0	0	0	0	0	0	0	2	5
ENSMUSG00000000942	1	1	2	0	0	0	0	4	0	2	0	5	2	1	2	0	1	1	0	0	0	3	1
ENSMUSG00000000948	0	0	0	0	0	0	0	0	0	0	1	2	0	2	2.08	0	0	0	0	0	0	0	0
ENSMUSG00000000957	9	4	3	4	0	0	0	2	0	12	20	31	15	1	68	0	2	6	1	1	2	3	9
ENSMUSG00000000958	23.41	11.26	24	13.37	0	1	0	4	6	11.57	27.47	55.29	9.45	5	12.42	1	3	4	0	4	8	13.83	12.73
ENSMUSG00000000959	39.59	38.74	42	27.63	2	0	7	4	24	34.43	37.53	87.71	38.55	15	20.58	1	8	15	0	3	19	23.17	26.27
ENSMUSG00000000976	29	33	40	17	1	0	0	0	5	8	14	35	12	10	11	1	3	5	0	0	1	15	2
ENSMUSG00000000982	3	2	2	2	0	0	1	0	2	1	5	7	2	0	3	0	4	5	1	2	1	3	0
ENSMUSG00000000983	17	3	2	0	0	0	0	0	2	3	4	1	4	0	11	0	0	0	0	0	0	1	1
ENSMUSG00000001014	1	0	2	2.79	0	0	1	0	0	1	5.84	4	2.82	0	1	0	0	11.87	0	1	2.91	2.52	4
ENSMUSG00000001016	33.45	15.28	31.63	17	1	1	6	1	7	19.23	18.1	48.46	16	9.63	14.75	2	3.75	3	0	1	3.42	6	9
ENSMUSG00000001017	111	63	105	74	5	5	26	8	24	51	95	131	35	31	72	5	20	28	3	8	14	26	20
ENSMUSG00000001018	30.55	24.72	34.37	24	1	1	8	1	8	11.77	20.9	48.54	8	19.37	24.25	1	18.25	4	1	2	4.58	13	5
ENSMUSG00000001020	184	117	220	99	49	60	232	29	100	203	438	769	279	42	174	1	74	77	6	17	43	57	78
ENSMUSG00000001021	1	0	0	0	0	0	0	0	4	0	1	1	1	1	5	0	1	2	0	1	0	2	0
ENSMUSG00000001025	695	490	914	174	37	33	127	98	243	288	885	1759	370	233	1036	44	270	183	22	58	206	701	283
ENSMUSG00000001027	11	13	22	9	1	0	0	2	3	5	9	11	5	7	3	0	2	6	0	0	2	3	2
ENSMUSG00000001029	28	16	14	13	2	0	6	4	17	5	9	42	14	14	1	4	5	5	0	5	9	15	11
ENSMUSG00000001034	19	15	20	26	0	1	0	3	7	7	14	40	10	6	19	4	7	1	0	0	4	15	4
ENSMUSG00000001036	0	2	1	2	0	0	0	0	0	0	0	6	0	2	5	0	0	3	0	0	0	0	0
ENSMUSG00000001052	48	39	77	43	2	0	3	1	10	18	39	61	6	20	33	1	4	4	0	0	2	14	6
ENSMUSG00000001053	8	5	14	9	1	0	2	3	9	7	7	16	7	4	12	1	10	5	0	2	2	4	3
ENSMUSG00000001054	22	22	34	11	1	0	7	1	13	17	32	43	20	9	30	1	11	9	0	1	11	22	10
ENSMUSG00000001056	24	24	29	13	2	5	14	7	17	22	32	53	36	6	21	0	11	15	0	4	6	11	14
ENSMUSG00000001062	39	28	65	16	1	0	5	6	19	21	36	60	28	15	22	2	6	0	0	0	6.61	11	11
ENSMUSG00000001065	70.93	49	77.86	20.95	2	0	7	2.19	8	19	25.92	69.9	17	8	19	3	5	6	0	2	3	15	6
ENSMUSG00000001082	22	17	20	14	1	0	3	0	13	17	21	37	22	7	31	2	3	6	1	1	4	14	10
ENSMUSG00000001089	6	2	3	3	0	0	0	0	1	3	2	14	2	4	23	0	2	1	0	0	2	2	2
ENSMUSG00000001095	16	9	5	6	0	0	0	4	1	5	10	33	5	6	57	1	2	1	0	3	0	2	2
ENSMUSG00000001098	136	118	144.67	54.71	0	0	6.75	8.02	40	46	71	118.05	41	40	101	8	23	13	2	6	20	50	19
ENSMUSG00000001100	17	14	26.98	12	1	0	2	0	12	16	17	45.97	17	6	11	1	6	8	0	1	3	7	6
ENSMUSG00000001105	182	131	153	164	45	32	109	26	77	133	243	335	185	87	106	21	116	162	5	26	96	203	173
ENSMUSG00000001120	5	0	0	3	0	0	0	0	2	3	2	2	1	2	5	1	1	0	0	0	2	2	2
ENSMUSG00000001123	166	180	243	167	30	4	19	12	90	120	168	208	124	219	130	17	961	1739	67	374	913	511	1123
ENSMUSG00000001127	47	28	65	33	2	1	9	5	28	27	45.85	108	35	22	28.07	7	13	10	0	2	23	46	37
ENSMUSG00000001128	183	141	295	77	7	3	20	6	98	169	184	333	192	26	135	2	26	22	1	9	36	200	73
ENSMUSG00000001131	0	1	0	1	0	0	0	0	2	4	2	6	4	0	6	0	0	7	0	0	0	3	1
ENSMUSG00000001134	15	5	8	9	5	2	12	2	6	4	17	30	15	6	15	0	7	15	0	2	11	7	11
ENSMUSG00000001138	24	7	24	10	0	0	2	1	3	7	15	15	10	4	15	0	0	2	0	0	1	2	2
ENSMUSG00000001143	37	9	28	14	0	1	0	0	7	14	31.04	34.99	11	6	14.01	3	4	5	0	3	3	11	11
ENSMUSG00000001150	45	40	73	30	1	0	2	0	6	15	14	38	15	7	27	6	4	2	0	1	8	27	4
ENSMUSG00000001151	21	20	21	26	0	0	0	0	9	17	16	36	9	11	14	1	6	3	0	0	2	8	6
ENSMUSG00000001156	883	770	1449	112	7	2	13	21	80	149	293	570	126	143	539	56	81	89	7	31	91	414	105
ENSMUSG00000001157	20	11	20	5	1	0	7	1	0	5	10	20	7	5	8	0	4	2	0	1	0	2	0
ENSMUSG00000001158	27	21	45	21	19	4	18	4	14	15	46	50	26	14	14	1	22	52	0	3	9	20	17
ENSMUSG00000001166	9	2	10	5	1	0	2	0	2	4	8	11	9	6	2	0	7	15	0	2	8	17	7
ENSMUSG00000001173	17	5	5	1.94	0	0	3	0	1.99	1.08	7.25	7	2.79	0	9	0	1.12	0	1	0	0	3	1
ENSMUSG00000001175	501	363	528	300	17	19	104	45	121	246	429	847	261	144	334	21	140	118	7	47	94	229	168
ENSMUSG00000001211	44	39	50	32	6	3	5	2	23	24	51	78	36	18	28	4	22	21	3	2	21	29	34
ENSMUSG00000001227	77	97	180	27	1	0	4	1	13	47	65	76	48	18	77	8	3	0	1	0	12	104	7
ENSMUSG00000001228	6	2	4	4	1	0	2	1	1	1	4	8	1	5	1	0	1	0	0	2	1	4	2
ENSMUSG00000001229	56	30	52	35	0	0	0	2	13	20	35	60	26	17	21	2	8	7	0	1	12	16	9
ENSMUSG00000001240	1	0	1	0	0	0	0	0	0	4.43	2	0	0	3	4.43	0	1	0	0	0	0	0	0
ENSMUSG00000001247	25.86	7	25.89	15	0	0	1	2	5	11	19.77	41.92	7	5	29	5	4	4	0	3	4	2	7
ENSMUSG00000001248	119	85	140	72	4	4	25	13	30	52	87	166	46	26	54	0	16	19	0	3	20	62	25
ENSMUSG00000001249	3	0	1	0	0	0	0	0	2	1	4	3	1	1	4	0	2	0	0	0	0	3	2
ENSMUSG00000001270	22	14	18	19	2	1	7	2	29	22	66	82	15	14	18	5	23	16	0	3	48	77	57
ENSMUSG00000001280	95	74	105	50	0	1	2	7	17	26	57	108	23	31	66	3	10	7	3	4	9	23	12
ENSMUSG00000001281	227	176	305	205	4	6	15	16	204	186	293	464	173	74	60	8	32	45	2	13	98	157	146
ENSMUSG00000001285	19	18	16	15	3	1	5	5	11	11	34	36	11	6	8.04	2	2	4	1	0	4	12	4
ENSMUSG00000001288	75	48	55	34	0	0	3	3	27	37	56	92	25	29	71	5	29	17	1	10	18	53	40
ENSMUSG00000001289	287	202	291	186	69	61	292	36	130	174	453	682	254	156	227.96	23	164	155	8	48	140	381	266
ENSMUSG00000001300	2	1	0	0	0	0	0	0	0	0	0	2	0	0	8	1	1	1	0	0	0	0	0
ENSMUSG00000001305	7	9	8	3	1	1	1	0	2	2	13	21	5	2	11	0	2	3	0	0	3	3	1
ENSMUSG00000001313	1	1	2	0	1	1	0	1	2	0	0	2	2	0	0	0	2	0	0	1	1	1	0
ENSMUSG00000001323	9.36	1.15	6.38	4.08	0	0	3.98	0	3.63	0	8.97	11.41	2.92	2.2	6.45	0	0	2.82	0	0	2	1.35	2.84
ENSMUSG00000001348	64	71	110	62	13	5	18	14	68	58	109	206	96	39	16	13	25	39	1	13	51	84	71
ENSMUSG00000001349	2	1	1	1	1	0	0	0	3	9	12	17	2	1	2	0	1	1	0	1	5	16	7
ENSMUSG00000001366	448	303	276	436	66	18	71	35	159	356	349	446	268	307	86	32	129	495	20	56	323	335	209
ENSMUSG00000001376	13	17	9	6	0	1	2	0	4	0	8	24	2	4	8	1	3	4	0	0	3	3	2
ENSMUSG00000001379	11	4	11	3	1	0	3	2	3	3	9	15	3	2	1	1	3	2	0	0	1	4	4
ENSMUSG00000001380	40	23	31	34	0	5	7	1	10	20	32.92	64	30	14	34	2	9	10	0	4	18	15	4
ENSMUSG00000001383	164	106	176	126	43	16	74	13	94	108	131	175	115	78	92	8	52	101	4	24	51	72	59
ENSMUSG00000001403	987	820	714	1113	170	87	269	116	651	971	1302	1270	866	673	403	104	823	1683	67	233	705	1087	1359
ENSMUSG00000001415	50	46	81	47	1	0	7	8	40	55	68	129	63	26	49	4	15	20	1	4	37	37	41
ENSMUSG00000001416	113	81	77	69	4	2	6	6	39	56	109	151	57	22	42	3	17	26	2	11	20	35	21
ENSMUSG00000001418	100	49.76	107	66	3	0	15	7	64	58	131	172.05	60.31	49	59.52	4	32	20	2	10	65	128.94	106
ENSMUSG00000001419	96	98.73	152.85	70	2	0	4.71	8	30	47	62	123.3	35.7	37	153	6	8	10	0	7.67	17.65	39	8.71
ENSMUSG00000001420	0	2.24	0	0	0	0	0	1	0	0	0	3.95	0	0	11.48	0	1	0	0	0	0	1.06	0
ENSMUSG00000001424	90	61	88	62	1	1	6	5	31	46	77	132	43	36	54	1	19	26	4	14	33	50	37
ENSMUSG00000001435	1	3	1	2	0	0	1	1	0	2	1	1	0	2	3	0	6	12	1	2	2	8	64
ENSMUSG00000001436	2	6	8	1	0	0	1	0	1	4	3	16	7	1	3	0	1	1	0	0	0	3	0
ENSMUSG00000001440	139	114	178	108	3	1	9	10	33	46	106	169	44	34	73.65	5	11	13	1	5	23	28	18
ENSMUSG00000001441	118.99	79.69	142.36	65.57	2	1	16.02	4	52.65	63.78	150.66	206.17	73.51	48.48	103.93	4	39.92	25	0	0.95	32.32	143.02	111.33
ENSMUSG00000001444	23	9	10	9	0	0	0	2	3	0	23	19	2	3	3	0	3	1	0	0	1	6	2
ENSMUSG00000001445	49	35	53	34	3	0	4	7	13	24	49	78.92	25	14	15	0	13	15	0	2	9	32	14.78
ENSMUSG00000001467	19	12	13	17	4	2	1	3	7	4	13	19	2	2	20	0	7	5	0	1	0	4	0
ENSMUSG00000001472	202	159	286	138	3	2	12	12	134	130	247	371	165	83	184	13	57	58	2	17	130	165	134
ENSMUSG00000001473	21	15	29	9	0	1	1	2	10	25	31	41	25	14	33	0	9	12	1	4	12	21	20
ENSMUSG00000001482	37	33	39	22	2	0	2	1	10	19	54	61	21	13	29	4	17	46	0	6	17	45	19
ENSMUSG00000001493	2	0	1	0	0	0	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1
ENSMUSG00000001497	2	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	0	1	0	0	0
ENSMUSG00000001504	0	0	0	0	1	1	0	0	0	0	0	0	0	0	24	0	1	0	0	0	0	0	0
ENSMUSG00000001506	4	2	2	0	0	0	0	0	45	2	0	1	2	0	2	0	0	0	0	0	0	1	0
ENSMUSG00000001507	2	0	2	1	1	0	0	0	1	1	0	0	1	3	6	0	0	6	0	0	0	0	1
ENSMUSG00000001517	0	3	2	2	0	0	0	1	0	2	0	1	2	3	4	1	0	1	0	1	1	1	0
ENSMUSG00000001518	5	6	9	5	0	1	0	0	8	3	5	15	5	2	5	0	1	0	0	1	3	2	3
ENSMUSG00000001521	5	3	4	4	0	0	1	0	2	3	7	3	1	1	5	1	2	0	0	0	1	2	1
ENSMUSG00000001524	6	10	8	7	1	0	6	0	2	5	13	18	3	2	4	0	5	1	0	0	2	1	7
ENSMUSG00000001525	181	141	190	144	16	7	33	28	111	150	253	385	155	82	108	4	68	67	7	13	81	109	127
ENSMUSG00000001542	380	304	298	303	127	45	210	31	39	147	121	200	126	175	79	26	131	295	9	65	30	83	55
ENSMUSG00000001552	24	9	13	16	0	0	2	0	11	6	19.99	39	13	21	104	5	11	5	1	8	17	20	10
ENSMUSG00000001569	29	21	14	12	1	0	1	0	6	3	10	30	3	3	14	1	0	4	1	0	1	8	6
ENSMUSG00000001576	95	60	69	65	2	2	5	5	22	31	57	128	38	38	98	10	18	16	3	4	42	51	24
ENSMUSG00000001583	1.59	2.49	4.11	8.78	0	1	0	1	2.14	5.74	0	6.18	5.46	6	4	0	1	8	0	2.75	5.15	5	2.57
ENSMUSG00000001588	154	130	191	75	2	2	10	9	90	46	148	273	64	46	48	15	20	22	5	6	46	106	57
