Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000022659	14	14	11	11	2	0	6	0	2	3	14	22	3	17	6	2	12	11	0	2	16	19	11
ENSMUSG00000022661	14	13	15	8	1	2	3	1	1	1	6	12	6	2	4	1	1	6	0	0	3	0	2
ENSMUSG00000022663	156	134	182	34	2	3	20	7	13	35	84	140	31	26	78	8	17	24	2	2	5	45	7
ENSMUSG00000022664	76	77	104	18	2	3	3	1	3	7	24	41	6	8	14	9	8	6	0	1	0	16	3
ENSMUSG00000022665	14	13	16	0	0	0	1	0	1	1	3	4	3	0	6	1	1	2	0	0	0	3	0
ENSMUSG00000022667	15	11	13	4	0	2	7	0	1	2	10	20	2	0	1	0	4	2	2	0	1	5	0
ENSMUSG00000022668	12.61	8.49	18.6	17.23	0	1	6	0	2	0	8.37	19.77	8.96	8	7.88	1	1	5.68	0	0	2	3.38	0
ENSMUSG00000022671	2	4	3	5	0	0	1	0	2	2	5	10	4	4	3	0	0	4	0	0	1	2	4
ENSMUSG00000022672	14	17	20	8	1	0	2	1	4	4	8	26	3	2	4	1	1	2	1	1	3	3	1
ENSMUSG00000022673	29	31	24	18	2	2	8	3	4	15	21	32	9	8	13	1	2	1	0	1	1	4	4
ENSMUSG00000022674	15.76	16.17	19.28	14.66	1	4.99	19	3	2	7	10.11	29	5.09	4.09	11.23	1	4.09	6.47	0	2	3	3	1
ENSMUSG00000022677	74	68	75	51	17	19	86	10	19	30	79	127	43	35	57	9	39	19	2	4	19	72	40
ENSMUSG00000022678	23	23	28	21	0	0	3	1	7	8	29	48	9	12	20	0	4	1	0	1	5	11	8
ENSMUSG00000022679	4.98	1.6	6.71	0	2.43	1	2.15	0	1.06	0	4.76	2.04	0	1	1	0	0.96	1.65	0	0	0	0	0
ENSMUSG00000022680	67	38.57	49.59	27	1	0	5	0	14.75	21.67	51.84	74.06	18.4	25.61	39.13	3	20.74	15.42	1	3.67	17.9	30.23	16.04
ENSMUSG00000022681	108	81.43	110.41	46	16	24.87	97	16	65.25	76.27	165.12	244.94	74.6	66.39	85.87	7	70.26	48.58	5	9.33	56.1	173.77	92.96
ENSMUSG00000022682	26	17	25	22	0	0	1	3	10	11	13	24	18	7	29	0	1	6	0	1	5	3	4
ENSMUSG00000022683	9	2	5	2	1	0	2	0	3	3	7	10	2	2	4	1	2	1	0	0	1	11	8
ENSMUSG00000022684	32	34	61	26	1	0	8	7	14	16	55	61.87	23	10	10	2	11	5	1	3	2	16	25
ENSMUSG00000022685	16	16	18	11	0	0	1	0	4	9	14	20	7	4	9	0	2	2	0	0	0	8	3
ENSMUSG00000022686	64	70	50	34	6	4	16	6	3	8	20	58	8	17	44	2	4	12	2	2	0	4	2
ENSMUSG00000022696	25	20	37	27.83	0	0	4	2	9	14	33	40	18	12	4	2	4	1	0	3	7	24	5
ENSMUSG00000022698	40	45	58	29	7	4	35	5	5	24	32	83	25	18	65	3	14	16	0	2	4	13	3
ENSMUSG00000022701	8	1	3	3	1	0	1	0	3	2	5	9	3	0	3	1	0	1	0	1	0	1	2
ENSMUSG00000022702	33	20	25	23	1	1	4	2	12	13	25	35	12	7	34	3	8	7	0	2	8	11	5
