Gene_ID	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Lung_1	Lung_2	Lung_3	Lung_4	Lung_5	Lung_6	Lung_7	Lung_8	Lung_9
ENSG00000141456	1	1	0	0	2	0	0	0	0	0	3	0	1	0	0	0	2	3
ENSG00000141458	0	0	0	0	0	6	0	0	16	0	8	0	4	1	0	0	12	0
ENSG00000141469	0	0	0	7	0	8	0	0	0	0	5	0	0	0	0	0	0	0
ENSG00000141480	113	53	69	24	226	73	104	32	107	62	238	148	199	21	62	40	46	45
ENSG00000141485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000141497	30	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0
ENSG00000141499	0	0	0	0	0	0	0	0	15	0	6	0	0	0	6	0	0	0
ENSG00000141503	129	155	160	28	192	262	247	253	132	111	188	5	110	106	164	81	78	225
ENSG00000141504	39	0	36	4	71	60	57	9	98	5	16	0	9	0	0	6	10	0
ENSG00000141505	0	6	0	2	7	17	7	0	4	1	0	0	0	0	0	0	0	0
ENSG00000141506	0	7	6	0	16	30	15	2	13	5	18	1	4	1	2	0	7	5
ENSG00000141510	0	14	0	0	1	7	0	0	38	5	1	0	5	3	2	0	0	0
ENSG00000141519	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000141522	88	23	28	19	63	78	59	24	73	11	60	18	25	2	27	23	10	15
ENSG00000141524	0	0	9	0	56	18	11	14	80	0	7	0	1	0	0	0	3	0
ENSG00000141526	0	0	0	0	0	1	0	0	1	0	3	0	1	0	0	0	0	1
ENSG00000141540	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSG00000141542	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141543	6	88	7	7	36	11	26	6	158	1	24	0	5	0	0	8	6	5
ENSG00000141551	0	13	0	23	12	0	10	5	31	9	3	0	0	0	0	5	2	3
ENSG00000141552	31	80	59	50	125	167	163	198	172	48	169	28	95	41	117	111	53	96
ENSG00000141556	27	3	61	0	1	1	0	0	80	11	31	2	23	28	12	14	8	38
ENSG00000141560	5	18	0	7	43	6	69	0	55	5	21	0	6	0	0	0	1	2
ENSG00000141562	0	0	0	34	95	72	38	49	114	0	36	0	14	33	21	31	8	57
ENSG00000141564	1	36	0	15	11	0	46	3	0	2	5	0	3	0	2	0	8	8
ENSG00000141568	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	2	0	1
ENSG00000141569	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141574	0	0	0	0	2	11	13	0	5	1	2	32	0	0	0	0	1	1
ENSG00000141576	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000141577	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0
ENSG00000141580	66	24	40	56	76	147	91	131	52	14	41	55	12	2	26	19	8	13
ENSG00000141627	1	161	70	34	41	68	48	26	181	20	22	26	42	26	51	117	14	53
ENSG00000141644	21	0	0	1	36	20	37	33	39	3	15	0	2	0	4	1	1	0
ENSG00000141646	0	0	0	0	7	3	0	0	1	5	1	0	0	1	0	0	4	7
ENSG00000141655	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0
ENSG00000141664	2	0	20	0	1	3	20	8	2	18	4	0	10	16	21	18	6	33
ENSG00000141665	0	0	0	0	0	4	0	0	3	0	1	0	7	0	0	0	6	0
